id	phase	task	description	owner	depends_on	effort_days	week	status	deliverable	risk	notes
5.1	5 BRD Generator	BRD template v0	Define section structure: Overview; Stakeholders; Functional Req; Non-Functional; Dependencies; Risks; Open Questions	SRS-Bimal	0.16	1	4	TODO	templates/brd_v0.md	Template drift if BlackLine has internal template	-
5.2	5 BRD Generator	BRD generator agent skeleton	LangGraph node; reads aggregated_context; writes brd_draft	SRS-FDE	5.1,4.6	2	4	TODO	agents/brd_generator.py	-	Claude Opus
5.3	5 BRD Generator	Opus prompt engineering	Iterate on prompts for completeness; consistency; source attribution	SRS-FDE	5.2	3	4-5	TODO	Prompt library v1	Prompt regression as templates evolve	-
5.4	5 BRD Generator	Open-questions co-emission	BRD draft must include explicit open-questions list	SRS-FDE	5.3	1	5	TODO	BRD with embedded questions	-	-
5.5	5 BRD Generator	Markdown renderer	Render BRD to clean markdown for Jira attachment	SRS-FDE	5.3	0.5	5	TODO	brd_renderer.py	-	-
5.6	5 BRD Generator	Source attribution in BRD	Each section cites source (Confluence page; Jira ticket; etc)	SRS-FDE	5.3	1	5	TODO	Attribution working	Misattribution erodes BSA trust	-
5.7	5 BRD Generator	BRD QA on samples	Generate BRD from each sample transcript; manual review by Bimal	SRS-Bimal	5.6,0.20	1.5	5	TODO	QA report	-	Acceptance gate
6.1	6 Story Decomposer	Story templates	As-a/I-want/So-that + Given/When/Then templates	SRS-Bimal	5.1	0.5	5	TODO	templates/story_v0.md	-	-
6.2	6 Story Decomposer	Story decomposer agent	BRD -> Epics -> Stories -> Acceptance Criteria	SRS-FDE	6.1,5.7	2.5	5-6	TODO	agents/story_decomposer.py	-	Claude Opus
6.3	6 Story Decomposer	Dependency hint generator	Suggest likely sprint sequencing (backend before frontend)	SRS-FDE	6.2	1	6	TODO	Dependency suggestions in output	Suggestions wrong = noise for scrum lead	Future-vision lite version
6.4	6 Story Decomposer	Story QA on samples	Generate stories from sample BRDs; Bimal review	SRS-Bimal	6.3	1	6	TODO	QA report	-	Acceptance gate
7.1	7 Jira Write-Back	Attach BRD to ticket	Upload BRD markdown as Jira attachment	SRS-FDE	2.5,5.5	1	6	TODO	Working attach call	-	-
7.2	7 Jira Write-Back	Post comments to ticket	Open-questions; status updates; scope-creep summaries	SRS-FDE	2.5	1	6	TODO	Comment formatter	-	-
7.3	7 Jira Write-Back	Create Epics + Stories via REST	Programmatic child issue creation under the AI Workbench ticket	SRS-FDE	2.5,6.2,0.15	2	6	TODO	Stories appear in Jira	Permission denied by Jira admin	D2 dependent
7.4	7 Jira Write-Back	Idempotency / issue-key tracking	On re-run; find existing issues and update vs create	SRS-FDE	7.3	2	6-7	TODO	Stable key strategy + tests	Duplicate epics on re-run	Critical for Phase 8
7.5	7 Jira Write-Back	Jira admin permissions	Coordinate with BlackLine Jira admin for write scopes	SRS-FDE	0.7	0.5	6	TODO	Permission grant	BlackLine admin lead time	-
7.6	7 Jira Write-Back	End-to-end happy path	Transcript -> BRD attached -> Stories created in Jira	SRS-FDE	7.1,7.2,7.3,7.4	1	7	TODO	Demo recording	-	-
8.1	8 Iterative Re-runs	Prior-state persistence	Persist BRD + story snapshots per Jira ticket	SRS-FDE	4.7,7.4	1.5	7	TODO	State store schema	-	Needed for diffing
8.2	8 Iterative Re-runs	Scope-creep differ prompt	Prompt to compare new context vs prior BRD/stories	SRS-FDE	8.1	2	7	TODO	Diff prompt v1	Diff hallucinates non-existent changes	Claude Sonnet
8.3	8 Iterative Re-runs	Scope-creep differ agent	Implements semantic diff; emits structured deviation summary	SRS-FDE	8.2	2	7	TODO	agents/scope_differ.py	-	-
8.4	8 Iterative Re-runs	Comment formatting for diffs	Human-readable scope-creep comment posted to Jira	SRS-FDE	8.3,7.2	1	7	TODO	Formatted comment example	-	-
8.5	8 Iterative Re-runs	Multi-round test scenario	Sample: BRD -> review -> new doc -> re-run -> updated BRD + diff	SRS-Bimal	8.4	1	7-8	TODO	End-to-end demo recording	-	Step 5-6 from PDF
9.1	9 Conversational Sidebar	Decision gate D6	Confirm whether sidebar is in POC scope	Joint	0.18	0	5	TODO	Go/no-go	-	May be cut
9.2	9 Conversational Sidebar	Chat endpoint (if in scope)	POST /chat with ticket context	SRS-FDE	9.1	2	7	OPTIONAL	chat.py	-	Only if D6=yes
9.3	9 Conversational Sidebar	Jira sidebar integration (if in scope)	Embed chat in Jira issue sidebar via Forge or Connect	SRS-FDE	9.2	3	7-8	OPTIONAL	Working sidebar	Atlassian app review delay	Only if D6=yes
10.1	10 End-to-end Testing	Synthetic transcript suite	Generate diverse synthetic GTM transcripts for breadth testing	SRS-FDE	5.7,6.4	1	7	TODO	tests/fixtures/synthetic/	-	-
10.2	10 End-to-end Testing	Real anonymized E2E run	Run pipeline on BlackLine-supplied anonymized samples	SRS-Bimal	0.20,8.5	1.5	8	TODO	Run report	-	Acceptance gate
10.3	10 End-to-end Testing	Performance / latency test	Measure per-stage latency vs targets	SRS-FDE	10.2	1	8	TODO	Perf report	Opus latency may exceed expectations	-
10.4	10 End-to-end Testing	Cost tracking per run	LiteLLM token accounting; per-run cost report	SRS-FDE	1.2	0.5	8	TODO	Cost dashboard	Cost overrun	Future-vision lite version
10.5	10 End-to-end Testing	Bug bash + fixes	Cross-team test; triage; fix	SRS-FDE	10.2	2	8	TODO	Closed bug list	-	-
11.1	11 Demo Prep & Delivery	Demo runbook	Step-by-step demo script with fallback paths	SRS-Bimal	10.5	0.5	8	TODO	demo_runbook.md	-	-
11.2	11 Demo Prep & Delivery	Demo dataset prep	Curated transcript + one-pager + expected outputs	SRS-Bimal	10.5	0.5	8	TODO	Demo fixture pack	-	-
11.3	11 Demo Prep & Delivery	Internal dry run	Bimal + Chet + FDEs walk-through	SRS-Bimal	11.1,11.2	0.5	8	TODO	Dry-run notes	-	-
11.4	11 Demo Prep & Delivery	Stakeholder demo	Ravi + Gopal + Vinay + Chet + Bimal	SRS-Chet	11.3	0.5	8	TODO	Recorded demo + feedback log	-	-
11.5	11 Demo Prep & Delivery	Feedback capture	Capture corrections + new scope ideas during/after demo	SRS-Chet	11.4	0.5	8	TODO	Feedback log	-	Feeds continuous-learning roadmap
11.6	11 Demo Prep & Delivery	Handoff documentation	README; runbook; architecture; secrets layout; next-steps doc	SRS-FDE	11.4	1	8	TODO	docs/HANDOFF.md	-	-
12.1	12 Post-POC	Retrospective	What worked; what to do differently for next agent	SRS-Bimal	11.5	0.5	9	TODO	Retro doc	-	-
12.2	12 Post-POC	Next-phase scoping	Which roadmap items move first: RAG; templates; sidebar; QA agent	Joint	11.5	1	9	TODO	Phase-2 SOW draft	Scope churn (per pivot history)	-
12.3	12 Post-POC	Roadmap priority decision	Pick top 2-3 future-vision items	BlackLine-Ravi	12.2	0.5	9	TODO	Phase-2 priorities signed off	-	-
